,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
0,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",MVV MK Housing,"Kurmannapalem, Visakhapatnam",1050 ,"2,999 / sq ft", 31.48 L,Under Construction,Possession by Jul 20232 BathroomsNew ,Yes
1,"3 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Ramky Estates Farms Ltd,"Sheela Nagar, Visakhapatnam",1495 ,"4,749 / sq ft", 70.99 L,Under Construction,Possession by Nov 2023New ,Yes
2,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",1375 ,"3,400 / sq ft", 46.75 L,Under Construction,Possession by May 2023New ,Yes
3,"3 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1271 ,"6,573 / sq ft", 83.55 L,Under Construction,Possession by Mar 2024New ,Yes
4,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",MVV MK Housing,"Kurmannapalem, Visakhapatnam",895 ,"2,999 / sq ft", 26.84 L,Under Construction,Possession by Jul 20232 BathroomsNew ,Yes
5,"3 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Ramky Estates Farms Ltd,"Sheela Nagar, Visakhapatnam",1600 ,"4,749 / sq ft", 75.98 L,Under Construction,Possession by Nov 20233 BathroomsNew ,Yes
6,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",1040 ,"3,400 / sq ft", 35.36 L,Under Construction,Possession by May 2023New ,Yes
7,"3 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1380 ,"7,173 / sq ft", 99 L,Under Construction,Possession by Mar 2024New ,Yes
8,"2 BHK Apartment in Ramky One KrystalSheela Nagar, Visakhapatnam",Ramky Estates Farms Ltd,"Sheela Nagar, Visakhapatnam",1165 ,"4,749 / sq ft", 55.32 L,Under Construction,Possession by Nov 20232 BathroomsNew ,Yes
9,"2 BHK Apartment in Srivira Chakri MeadowsPendurthi, Visakhapatnam",Srivira Infra Private Limited,"Pendurthi, Visakhapatnam",970 ,"3,400 / sq ft", 32.98 L,Under Construction,Possession by May 2023New ,Yes
10,"2 BHK Apartment in Apex CelestGajuwaka, Visakhapatnam",Apex Meadows Private Limited,"Gajuwaka, Visakhapatnam",1064 ,"6,748 / sq ft", 71.8 L,Under Construction,Possession by Mar 2024New ,Yes
11,"6 BHK Independent HouseGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",3000 ,"5,000 / sq ft", 1.5 Cr,Ready to move,6 - 7 years old6 BathroomsResale ,No
12,"3 BHK VillaAnandapuram, Visakhapatnam",seller,"Anandapuram, Visakhapatnam",1600 ,"3,062 / sq ft", 49 L,Ready to move,Resale ,No
13,"3 BHK ApartmentSeethammadhara, Visakhapatnam",seller,"Seethammadhara, Visakhapatnam",1600 ,"7,875 / sq ft", 1.26 Cr,Ready to move,2 BathroomsResale NorthEast facing,No
14,"3 BHK ApartmentDuvvada, Visakhapatnam",seller,"Duvvada, Visakhapatnam",1400 ,"3,571 / sq ft", 50 L,Ready to move,5 - 6 years oldResale ,No
15,"3 BHK Apartment in Chaganti Sri Padmavat SreenivasamTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1500 ,"3,793 / sq ft", 56.9 L,Ready to move,2 BathroomsResale ,No
16,"Residential PlotTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,833 / sq ft", 33 L,Resale,East facing,No
17,"3 BHK Apartment in Vasanth Vihar MadhurwadaMadhurawada, Visakhapatnam",seller,"Madhurawada, Visakhapatnam",1450 ,"4,206 / sq ft", 61 L,Under Construction,3 BathroomsResale ,Yes
18,"2 BHK ApartmentAkkayyapalem, Visakhapatnam",seller,"Akkayyapalem, Visakhapatnam",1027 ,"7,692 / sq ft", 79 L,Ready to move,5 - 6 years old2 BathroomsResale ,No
19,"3 BHK Apartment in Utkarsha AbodesMadhurawada, Visakhapatnam",seller,"Madhurawada, Visakhapatnam",1608 ,"5,286 / sq ft", 85 L,Ready to move,4 - 5 years old3 BathroomsResale ,No
20,"2 BHK Independent HouseTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1000 ,"7,400 / sq ft", 74 L,Under Construction,2 BathroomsResale NorthWest facing,No
21,"2 BHK ApartmentSheela Nagar, Visakhapatnam",seller,"Sheela Nagar, Visakhapatnam",1090 ,"3,302 / sq ft", 36 L,Under Construction,2 BathroomsResale NorthEast facing,No
22,"4 BHK Apartment in Abhilash Yaksha SquareUppada, Visakhapatnam",seller,"Uppada, Visakhapatnam",6000 ,"1,583 / sq ft", 95 L,Under Construction,Possession by Aug 20223 BathroomsResale ,Yes
23,"3 BHK Independent FloorRushikonda, Visakhapatnam",seller,"Rushikonda, Visakhapatnam",3200 ,"6,250 / sq ft", 2 Cr,Under Construction,4 BathroomsResale ,No
24,"7 BHK Independent HouseGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",2658 ,"7,336 / sq ft", 1.95 Cr,Ready to move,6 - 7 years old5 BathroomsResale ,No
25,"2 BHK Apartment in Novus Florence Village Phase ll Block JGajuwaka, Visakhapatnam",seller,"Gajuwaka, Visakhapatnam",1171 ,"3,300 / sq ft", 38.64 L,Ready to move,0 - 1 year old2 BathroomsResale ,No
26,"2 BHK ApartmentAkkayyapalem, Visakhapatnam",seller,"Akkayyapalem, Visakhapatnam",895 ,"5,810 / sq ft", 52 L,Ready to move,5 - 6 years old2 BathroomsResale ,No
27,"Residential PlotAnandapuram, Visakhapatnam",seller,"Anandapuram, Visakhapatnam",1800 ,"2,666 / sq ft", 48 L,Resale,,No
28,"Residential PlotAtchutapuram, Visakhapatnam",seller,"Atchutapuram, Visakhapatnam",900 ,"1,777 / sq ft", 16 L,Resale,1 open sidesEast facing,No
29,"Residential PlotKothavalasa, Visakhapatnam",seller,"Kothavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,Resale,4 open sidesNorth facing,No
30,"Residential Plot in Bhoomatha ANR RoyaleTagarapuvalasa, Visakhapatnam",seller,"Tagarapuvalasa, Visakhapatnam",1800 ,"2,888 / sq ft", 52 L,Resale,3 open sidesSouth facing,Yes
31,"Residential Plot in Bhoomatha Srinivasa ResidencyBheemunipatnam, Visakhapatnam",seller,"Bheemunipatnam, Visakhapatnam",1800 ,"1,388 / sq ft", 25 L,Resale,,Yes
